year,county,president_dem,president_rep,president_total,governor_dem,governor_rep,governor_total,us_senate_dem,us_senate_rep,us_senate_total,attorney_general_dem,attorney_general_rep,attorney_general_total,cfo_dem,cfo_rep,cfo_total,agriculture_commissioner_dem,agriculture_commissioner_rep,agriculture_commissioner_total,us_house_dem,us_house_rep,us_house_total,state_senate_dem,state_senate_rep,state_senate_total,state_house_dem,state_house_rep,state_house_total
2022,Columbia,0,0,0,4789,18790,23727,5070,18344,23655,4706,18762,23468,5002,18349,23351,4974,18399,23373,4961,18332,23555,0,0,0,0,0,0
2022,Desoto,0,0,0,2023,6637,8701,2097,6469,8659,2006,6574,8580,2137,6371,8508,2105,6429,8534,0,6504,8184,2008,6537,8545,0,0,0
2022,Dixie,0,0,0,735,5394,6179,826,5225,6134,747,5375,6122,826,5066,5892,814,5270,6084,793,5258,6136,825,5224,6049,0,0,0
2022,Duval,0,0,0,143837,182569,329319,147646,177401,328841,139677,186628,326305,142996,181195,324191,145624,177499,323123,75485,61692,137177,147628,176806,324434,58362,115173,187956
2022,Escambia,0,0,0,40076,74608,115737,40790,73225,115496,39243,75597,114840,39825,73747,113572,40454,73499,113953,46764,67337,114101,40200,74563,114763,40203,74394,114597
2022,Flagler,0,0,0,19177,39183,58696,20204,37934,58621,18418,39689,58107,19281,38298,57579,19249,38247,57496,0,40018,53830,0,0,0,19223,38328,57551
2022,Franklin,0,0,0,1406,4003,5442,1471,3885,5418,1371,4010,5381,1354,4031,5385,1452,3908,5360,1563,3846,5409,1574,3810,5384,0,0,0
2022,Gadsden,0,0,0,10805,6511,17426,11113,6086,17384,10099,7202,17301,10542,6694,17236,10672,6478,17150,11314,6048,17362,10990,6357,17347,11110,6096,17206
2022,Gilchrist,0,0,0,1017,6806,7868,1087,6657,7846,988,6812,7800,1081,6551,7632,1026,6736,7762,1067,6667,7831,0,0,0,1022,6766,7788
2022,Glades,0,0,0,721,3091,3829,764,3026,3818,742,3041,3783,779,2963,3742,740,3023,3763,0,3000,3643,0,0,0,0,0,0
2022,Gulf,0,0,0,1247,5150,6425,1295,5069,6419,1239,5145,6384,1179,5217,6396,1335,5018,6353,1358,5044,6402,1388,4960,6348,0,0,0
2022,Hamilton,0,0,0,1120,3145,4293,1215,3030,4282,1090,3170,4260,1174,3055,4229,1153,3079,4232,1155,3053,4244,1180,3025,4205,0,0,0
